cols=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[2, 1, 0, 0, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[2, 1, 1, 0, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[2, 2, 1, 1, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[2, 2, 2, 1, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[2, 2, 2, 2, 1, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[2, 2, 2, 2, 2, 1, 0, 0, 0, 0], winRow=0, winCol=0
cols=[2, 2, 2, 2, 2, 2, 1, 0, 0, 0], winRow=0, winCol=0
cols=[2, 2, 2, 2, 2, 2, 2, 1, 0, 0], winRow=0, winCol=0
cols=[2, 2, 2, 2, 2, 2, 2, 2, 1, 0], winRow=0, winCol=0
cols=[2, 2, 2, 2, 2, 2, 2, 2, 2, 1], winRow=0, winCol=0
cols=[3, 1, 1, 1, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[3, 2, 0, 0, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[3, 2, 1, 0, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[3, 2, 2, 0, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[3, 3, 1, 1, 1, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[3, 3, 2, 1, 1, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[3, 3, 2, 2, 1, 1, 0, 0, 0, 0], winRow=0, winCol=0
cols=[3, 3, 2, 2, 2, 1, 1, 0, 0, 0], winRow=0, winCol=0
cols=[3, 3, 2, 2, 2, 2, 1, 1, 0, 0], winRow=0, winCol=0
cols=[3, 3, 2, 2, 2, 2, 2, 1, 1, 0], winRow=0, winCol=0
cols=[3, 3, 2, 2, 2, 2, 2, 2, 1, 1], winRow=0, winCol=0
cols=[3, 3, 3, 1, 1, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[3, 3, 3, 2, 1, 1, 0, 0, 0, 0], winRow=0, winCol=0
cols=[3, 3, 3, 2, 2, 1, 1, 0, 0, 0], winRow=0, winCol=0
cols=[3, 3, 3, 2, 2, 2, 1, 1, 0, 0], winRow=0, winCol=0
cols=[3, 3, 3, 2, 2, 2, 2, 1, 1, 0], winRow=0, winCol=0
cols=[3, 3, 3, 2, 2, 2, 2, 2, 1, 1], winRow=0, winCol=0
cols=[3, 3, 3, 3, 1, 1, 1, 0, 0, 0], winRow=0, winCol=0
cols=[3, 3, 3, 3, 2, 1, 1, 1, 0, 0], winRow=0, winCol=0
cols=[3, 3, 3, 3, 2, 2, 0, 0, 0, 0], winRow=0, winCol=0
cols=[3, 3, 3, 3, 3, 1, 1, 1, 1, 0], winRow=0, winCol=0
cols=[3, 3, 3, 3, 3, 2, 1, 1, 1, 1], winRow=0, winCol=0
cols=[3, 3, 3, 3, 3, 2, 2, 2, 0, 0], winRow=0, winCol=0
cols=[3, 3, 3, 3, 3, 3, 2, 1, 1, 1], winRow=0, winCol=0
cols=[3, 3, 3, 3, 3, 3, 3, 2, 2, 2], winRow=0, winCol=0
cols=[4, 1, 1, 1, 1, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[4, 2, 1, 1, 1, 1, 0, 0, 0, 0], winRow=0, winCol=0
cols=[4, 2, 2, 1, 1, 1, 0, 0, 0, 0], winRow=0, winCol=0
cols=[4, 2, 2, 2, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[4, 3, 0, 0, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
cols=[4, 3, 1, 0, 0, 0, 0, 0, 0, 0], winRow=0, winCol=0
